In what year did you start your current position?,currentEmp16a. In what year did you start your current position?
0,2016.0
1,2016.0
2,2013.0
3,2012.0
4,2012.0
5,2013.0
6,2009.0
7,2014.0
8,2005.0
9,2011.0
10,2012.0
11,2016.0
12,2013.0
13,2012.0
14,2010.0
15,2011.0
16,2015.0
17,2014.0
18,2009.0
19,2013.0
20,2014.0
21,2013.0
22,2011.0
23,2011.0
24,2014.0
25,2015.0
26,2010.0
27,2016.0
28,2015.0
29,2015.0
30,2001.0
31,2013.0
32,2015.0
33,1999.0
34,2014.0
35,2007.0
36,2014.0
37,2007.0
38,2016.0
39,2015.0
40,2009.0
41,2011.0
42,2015.0
43,2014.0
44,2006.0
45,2004.0
46,2015.0
47,2013.0
48,2016.0
49,2012.0
50,2012.0
51,2015.0
52,2011.0
53,2011.0
54,2015.0
55,2011.0
56,2001.0
57,2012.0
58,2014.0
59,2013.0
60,2013.0
61,2002.0
62,2014.0
63,2012.0
64,2015.0
65,2014.0
66,2010.0
67,1994.0
68,2014.0
69,2014.0
70,2014.0
71,1999.0
72,2001.0
73,2009.0
74,2015.0
75,2014.0
76,2015.0
77,2005.0
78,2014.0
79,2009.0
80,2014.0
81,2000.0
82,2014.0
83,2006.0
84,2014.0
85,2014.0
86,2007.0
87,2009.0
88,2015.0
89,2005.0
90,2014.0
91,1995.0
92,2009.0
93,2015.0
94,2013.0
95,2013.0
96,2002.0
97,2008.0
98,2006.0
99,2013.0
100,2012.0
101,2005.0
102,2013.0
103,2014.0
104,2014.0
105,2001.0
106,2015.0
107,2005.0
108,2013.0
109,2009.0
110,2008.0
111,2014.0
112,2015.0
113,2008.0
114,2004.0
115,2006.0
116,2010.0
117,2007.0
118,2012.0
119,2014.0
120,2013.0
121,2009.0
122,2011.0
123,2013.0
124,2004.0
125,2015.0
126,2015.0
127,2012.0
128,2015.0
129,2012.0
130,2005.0
131,2015.0
132,2008.0
133,2002.0
134,2014.0
135,2014.0
136,2012.0
137,2014.0
138,2015.0
139,2014.0
140,2011.0
141,2008.0
142,2012.0
143,2014.0
144,2008.0
145,2015.0
146,2014.0
147,2015.0
148,2013.0
149,2012.0
150,2015.0
151,2015.0
152,2007.0
153,2011.0
154,2011.0
155,2005.0
156,2015.0
157,2002.0
158,2012.0
159,1990.0
160,2015.0
161,2012.0
162,2015.0
163,2011.0
164,2015.0
165,2014.0
166,2013.0
167,2012.0
168,2013.0
169,2015.0
170,2015.0
171,2013.0
172,2016.0
173,2012.0
174,2010.0
175,2015.0
176,2015.0
177,2014.0
178,2013.0
179,2004.0
180,2015.0
181,2008.0
182,2015.0
183,1987.0
184,2015.0
185,2013.0
186,2007.0
187,2012.0
188,2014.0
189,2011.0
190,2008.0
191,2015.0
192,2015.0
193,2014.0
194,2012.0
195,1989.0
196,2010.0
197,1998.0
198,1990.0
199,2011.0
200,1999.0
201,2012.0
202,2013.0
203,2014.0
204,2006.0
205,2001.0
206,2013.0
207,2012.0
208,2013.0
209,2013.0
210,2016.0
211,2016.0
212,2013.0
213,2013.0
214,2014.0
215,2015.0
216,2010.0
217,2015.0
218,2011.0
219,2015.0
220,2013.0
221,1993.0
222,2013.0
223,2016.0
224,2015.0
225,2015.0
226,2000.0
227,2014.0
228,2012.0
229,2001.0
230,2013.0
231,2015.0
232,2013.0
233,2013.0
234,2016.0
235,2014.0
236,2015.0
237,2014.0
238,2005.0
239,2015.0
240,2004.0
241,2012.0
242,2013.0
243,2013.0
244,2015.0
245,2007.0
246,2013.0
247,2008.0
248,2007.0
249,2010.0
250,2016.0
251,
252,1996.0
253,2013.0
254,1999.0
255,2013.0
256,2015.0
257,2008.0
258,2006.0
259,2012.0
260,2014.0
261,2014.0
262,1996.0
263,2014.0
264,2015.0
265,2014.0
266,2015.0
267,2013.0
268,2013.0
269,2012.0
270,2015.0
271,2015.0
272,2012.0
