Which organisation do you work for?,currentEmp4. Which organisation do you work for?
University College London,3
King's College London,3
UCL,2
"Contract for Collegio Carlo Alberto, Itlay but based in University of Oxford.  Previously had a contract with University of Oxford as a post-doc Research Assistant",1
Queen Mary University London,1
Univestiry College London,1
University of Reading,1
Kings College London + Biomedical Research Centre,1
"Bogor Agricultural University (IPB), Indonesia",1
Not saying,1
"Birkbeck, University of London",1
,257
