Which organisation do you work for?,currentEmp4. Which organisation do you work for? [PERCENTAGE]
University College London,18.75
King's College London,18.75
UCL,12.5
"Contract for Collegio Carlo Alberto, Itlay but based in University of Oxford.  Previously had a contract with University of Oxford as a post-doc Research Assistant",6.25
Queen Mary University London,6.25
Univestiry College London,6.25
University of Reading,6.25
Kings College London + Biomedical Research Centre,6.25
"Bogor Agricultural University (IPB), Indonesia",6.25
Not saying,6.25
"Birkbeck, University of London",6.25
