What was your academic subject?,edu2. What was your academic subject? [PERCENTAGE]
Physical Sciences,40.89219330855018
Computer Sciences,22.676579925650557
Mathematical and Computer Sciences,10.408921933085502
Engineering,8.550185873605948
Biological Sciences,7.063197026022305
Other,2.6022304832713754
Combined studies,2.6022304832713754
Social studies,2.6022304832713754
Subjects allied to Medicine,1.1152416356877324
Historical and Philosophical studies,0.7434944237918215
Linguistics  Classics and related subjects,0.7434944237918215
