"On average, how much of the time you spend developing software is spent on new development/enhancement?"," On average, how much of your time is spent developing software?"," On average, how much of your time is spent on research?"," On average, how much of the time you spend developing software is spent on new development/enhancement?"," On average, how much of the time you spend developing software is devoted to maintenance and support activities?"," On average, how much time do you spend on management?"," On average, how much time do you spend on other activities?"
1 (None at all),6.25,20.0,6.25,21.25,22.5,23.75
2,11.023622047244094,8.661417322834646,6.299212598425196,23.62204724409449,24.409448818897637,25.984251968503933
3,22.330097087378643,16.50485436893204,10.679611650485436,19.41747572815534,12.62135922330097,18.446601941747574
4,16.9811320754717,20.754716981132077,9.433962264150944,18.867924528301888,15.09433962264151,18.867924528301888
5,17.272727272727273,18.181818181818183,23.636363636363637,15.454545454545453,11.818181818181818,13.636363636363635
6,10.0,23.333333333333332,36.666666666666664,13.333333333333334,16.666666666666664,0.0
7,39.473684210526315,15.789473684210526,23.684210526315788,7.894736842105263,10.526315789473683,2.631578947368421
8,17.647058823529413,14.705882352941178,35.294117647058826,5.88235294117647,17.647058823529413,8.823529411764707
9,20.0,16.0,44.0,4.0,12.0,4.0
10 (All my time),27.27272727272727,31.818181818181817,27.27272727272727,4.545454545454546,9.090909090909092,0.0
