General satisfaction,"In general, how satisfied are you with Your current position","In general, how satisfied are you with Your career"
﻿0 - Not at all satisfied,42.857142857142854,57.14285714285714
1,42.857142857142854,57.14285714285714
2,45.0,55.00000000000001
3,38.46153846153847,61.53846153846154
4,38.46153846153847,61.53846153846154
5,44.44444444444444,55.55555555555556
6,50.649350649350644,49.35064935064935
7,45.28301886792453,54.71698113207547
8,58.95522388059702,41.04477611940299
9,52.54237288135594,47.45762711864407
10 - Completely satisfied,54.83870967741935,45.16129032258064
