,What is the duration (in years) of your current contract?
0,1.0
1,4.5
2,2.0
3,2.0
4,2.0
5,99.0
6,0.5
7,2.5
8,3.0
9,3.0
10,100.0
11,1.0
12,0.0
13,5.0
14,1.0
15,2.0
16,100.0
17,4.0
18,1.0
19,1.0
20,2.0
21,2.0
22,100.0
23,100.0
24,1.0
25,16.0
26,34.0
27,2.0
28,7.0
29,0.0
30,4.0
31,99.0
32,3.0
33,0.0
34,5.0
35,2.0
36,-1.0
37,4.0
38,0.5
39,46.0
40,1.0
41,0.5
42,3.0
43,3.0
44,1.0
45,5.0
46,36.0
47,2.0
48,27.0
49,3.0
50,13.0
51,7.0
52,9.0
53,3.0
54,3.0
55,0.5
56,4.0
57,99.0
58,0.25
59,4.0
60,0.25
61,3.0
62,14.0
63,17.0
64,99.0
65,0.5
66,0.25
67,20.0
68,1.0
69,0.5
70,3.0
71,7.0
72,4.0
73,1.0
74,7.0
75,1.0
76,3.0
77,27.0
78,1.0
79,1.0
80,0.0
81,3.5
82,1.0
83,3.0
84,3.0
85,21.0
86,0.25
87,3.0
88,0.5
89,5.0
90,5.0
91,3.0
92,2.0
93,3.0
94,33.0
95,2.0
96,99.0
97,0.333
98,3.0
99,3.0
100,2.0
101,2.0
102,3.0
103,0.0
104,3.0
105,16.0
106,3.0
107,0.25
108,0.0
109,3.0
110,6.0
111,0.5
112,3.0
113,10.0
114,23.0
115,3.0
116,2.0
117,0.5
118,37.0
119,1.0
120,3.5
121,1.0
122,16.0
123,0.5
124,3.0
125,0.0
126,1.0
127,9999.0
128,3.0
129,2.0
130,5.0
131,1.0
132,2.0
133,2.0
134,1.0
135,2.0
136,3.0
137,0.3
138,3.0
139,0.5
140,36.0
141,1.0
142,2.0
143,3.0
144,2.0
145,5.0
146,3.0
147,4.0
148,2.0
149,0.5
150,1.0
151,2.0
152,3.0
153,5.0
154,3.0
155,9.0
156,1.0
157,99.0
158,19.0
159,3.0
160,3.0
161,2.5
162,6.0
163,1.0
164,5.0
165,3.0
166,4.0
167,1.0
168,36.0
169,2.0
170,2.0
171,4.0
172,1.0
173,1.0
174,2.0
175,5.0
176,3.0
177,2.0
178,9.0
179,25.0
180,99.0
181,0.5
182,28.0
183,2.0
184,25.0
185,-1.0
186,0.8
187,2.0
188,9.0
189,2.0
190,2.0
191,100.0
192,16.0
193,1.0
194,2.0
195,9999.0
