,Count
Computer Science,71
Biological Sciences,63
Physics and Astronomy,56
Geography & Environmental Sciences,33
Geology,19
Mathematics,18
Librarianship & Information Management,14
Chemistry,13
Education,12
Medicine,11
Electrical & Electronic Engineering,9
Robotics,7
Psychology,7
Economics,7
Mechanical Engineering,6
Linguistics,6
General Engineering,5
Chemical Engineering,4
Agriculture & Forestry,4
Accounting & Finance,3
History,3
Anatomy & Physiology,3
Art & Design,2
Communication & Media Studies,2
Business & Management Studies,2
Civil Engineering,2
Classics & Ancient History,2
Aeronautical & Manufacturing Engineering,2
German,2
Pharmacology & Pharmacy,2
Theology & Religious Studies,2
Veterinary Medicine,2
Marketing,1
Architecture,1
French,1
"History of Art, Architecture & Design",1
Anthropology,1
Law,1
Food Science,1
Sports Science,1
Materials Technology,1
Physiotherapy,0
Politics,0
Sociology,0
American Studies,0
Town & Country Planning and Landscape Design,0
Russian & East European Languages,0
Philosophy,0
Social Work,0
Social Policy,0
East & South Asian Studies,0
Ophthalmics,0
Nursing,0
Music,0
Middle Eastern and African Studies,0
Dentistry,0
Land & Property Management,0
Iberian Languages/Hispanic Studies,0
"Hospitality, Leisure, Recreation & Tourism",0
Complementary Medicine,0
Counselling,0
Fashion,0
English,0
Criminology,0
Youth Work,0
