Which University do you work for?,currentEmp2. Which University do you work for? [PERCENTAGE]
Humboldt University of Berlin,9.183673469387756
University of Potsdam,8.16326530612245
University of Würzburg,8.16326530612245
Karlsruhe Institute of Technology,6.122448979591836
University of Cologne,6.122448979591836
University of Göttingen,5.1020408163265305
University of Kiel,5.1020408163265305
Free University of Berlin,5.1020408163265305
TU Dresden,5.1020408163265305
Technical University of Berlin,4.081632653061225
University of Hamburg,4.081632653061225
Other,4.081632653061225
University of Münster,3.061224489795918
Goethe University Frankfurt,3.061224489795918
University of Jena,2.0408163265306123
University of Freiburg,2.0408163265306123
Ludwig Maximilian University of Munich,2.0408163265306123
University of Bonn,2.0408163265306123
Leipzig University,2.0408163265306123
University of Konstanz,2.0408163265306123
University of Passau,2.0408163265306123
University of Hanover,1.0204081632653061
University of Düsseldorf,1.0204081632653061
University of Duisburg-Essen,1.0204081632653061
University of Oldenburg,1.0204081632653061
University of Kaiserslautern,1.0204081632653061
University of Koblenz and Landau,1.0204081632653061
FernUniversität Hagen,1.0204081632653061
Technical University of Munich,1.0204081632653061
Heidelberg University,1.0204081632653061
