In which subject is your highest academic qualification?,edu2. In which subject is your highest academic qualification?
Physics and Astronomy,83
Computer Science,54
Biological Sciences,37
Other,36
Geography & Environmental Sciences,23
Mathematics,17
Psychology,8
Electrical & Electronic Engineering,8
Geology,6
Chemistry,6
Mechanical Engineering,5
Chemical Engineering,4
Agriculture & Forestry,3
Classics & Ancient History,3
History,3
Librarianship & Information Management,3
German,3
General Engineering,3
Communication & Media Studies,2
"History of Art, Architecture & Design",2
Sociology,2
Philosophy,2
Aeronautical & Manufacturing Engineering,2
Civil Engineering,2
Anatomy & Physiology,1
Town & Country Planning and Landscape Design,1
Linguistics,1
Politics,1
English,1
Medicine,1
Economics,1
Pharmacology & Pharmacy,1
