,In which subject is your highest academic qualification? [PERCENTAGE]
Physics and Astronomy,26.0
Computer Science,17.0
Biological Sciences,11.0
Other,11.0
Geography & Environmental Sciences,7.0
Mathematics,5.0
Electrical & Electronic Engineering,2.0
Psychology,2.0
Geology,2.0
Chemistry,2.0
Mechanical Engineering,2.0
Chemical Engineering,1.0
German,1.0
Librarianship & Information Management,1.0
History,1.0
Agriculture & Forestry,1.0
Classics & Ancient History,1.0
General Engineering,1.0
Sociology,1.0
Aeronautical & Manufacturing Engineering,1.0
"History of Art, Architecture & Design",1.0
Communication & Media Studies,1.0
Civil Engineering,1.0
Philosophy,1.0
Pharmacology & Pharmacy,0.0
Politics,0.0
Linguistics,0.0
Town & Country Planning and Landscape Design,0.0
Economics,0.0
English,0.0
Medicine,0.0
Anatomy & Physiology,0.0
