,Count [PERCENTAGE]
"Federal and state governments (BMBF, BMWi, BMVg and other sections)",42.4
"DFG, German Research Foundation",34.56
"European Union (e.g. H2020, COST, EUREKA)",10.14
I volunteer my time,5.53
"Foundations and conveyors (public and private, e.g. VolkswagenStiftung, Robert Bosch Stiftung, Klaus Tschira Stiftung, Stiftung Mercator)",4.15
Industry support,1.38
Stifterverband,0.46
Associations and chambers,0.46
Membership,0.46
Consulting & services,0.46
Crowdfunding (one-time),0.0
Crowdfunding (recurring),0.0
Venture capital,0.0
Dual license,0.0
Open core,0.0
Trademark licensing & franchising,0.0
