,Count
Computer Science,41
Biological Sciences,22
Physics and Astronomy,20
Medicine,12
Linguistics,11
Chemistry,11
History,10
Geography & Environmental Sciences,10
Librarianship & Information Management,6
Education,6
Communication & Media Studies,5
Mathematics,5
Food Science,5
Pharmacology & Pharmacy,5
Civil Engineering,4
Classics & Ancient History,3
Psychology,3
Middle Eastern and African Studies,2
Agriculture & Forestry,2
Materials Technology,2
Anthropology,2
English,2
Chemical Engineering,1
"History of Art, Architecture & Design",1
Music,1
Criminology,1
Philosophy,1
American Studies,1
Sociology,1
East & South Asian Studies,1
Law,1
Politics,1
Iberian Languages/Hispanic Studies,1
Complementary Medicine,1
General Engineering,1
Art & Design,1
French,1
Theology & Religious Studies,1
Russian & East European Languages,1
German,1
Social Work,0
Social Policy,0
Physiotherapy,0
Town & Country Planning and Landscape Design,0
Robotics,0
Veterinary Medicine,0
Sports Science,0
Ophthalmics,0
Accounting & Finance,0
Nursing,0
Mechanical Engineering,0
Marketing,0
Land & Property Management,0
"Hospitality, Leisure, Recreation & Tourism",0
Aeronautical & Manufacturing Engineering,0
Geology,0
Fashion,0
Electrical & Electronic Engineering,0
Economics,0
Dentistry,0
Counselling,0
Business & Management Studies,0
Architecture,0
Anatomy & Physiology,0
Youth Work,0
