In which disciplines do you work (select as many as apply),Count [PERCENTAGE]
Computer Science,19.806763285024154
Biological Sciences,10.628019323671497
Physics and Astronomy,9.66183574879227
Medicine,5.797101449275362
Linguistics,5.314009661835748
Chemistry,5.314009661835748
History,4.830917874396135
Geography & Environmental Sciences,4.830917874396135
Librarianship & Information Management,2.898550724637681
Education,2.898550724637681
Communication & Media Studies,2.4154589371980677
Mathematics,2.4154589371980677
Food Science,2.4154589371980677
Pharmacology & Pharmacy,2.4154589371980677
Civil Engineering,1.932367149758454
Classics & Ancient History,1.4492753623188406
Psychology,1.4492753623188406
Middle Eastern and African Studies,0.966183574879227
Agriculture & Forestry,0.966183574879227
Materials Technology,0.966183574879227
Anthropology,0.966183574879227
English,0.966183574879227
Chemical Engineering,0.4830917874396135
"History of Art, Architecture & Design",0.4830917874396135
Music,0.4830917874396135
Criminology,0.4830917874396135
Philosophy,0.4830917874396135
American Studies,0.4830917874396135
Sociology,0.4830917874396135
East & South Asian Studies,0.4830917874396135
Law,0.4830917874396135
Politics,0.4830917874396135
Iberian Languages/Hispanic Studies,0.4830917874396135
Complementary Medicine,0.4830917874396135
General Engineering,0.4830917874396135
Art & Design,0.4830917874396135
French,0.4830917874396135
Theology & Religious Studies,0.4830917874396135
Russian & East European Languages,0.4830917874396135
German,0.4830917874396135
Social Work,0.0
Social Policy,0.0
Physiotherapy,0.0
Town & Country Planning and Landscape Design,0.0
Robotics,0.0
Veterinary Medicine,0.0
Sports Science,0.0
Ophthalmics,0.0
Accounting & Finance,0.0
Nursing,0.0
Mechanical Engineering,0.0
Marketing,0.0
Land & Property Management,0.0
"Hospitality, Leisure, Recreation & Tourism",0.0
Aeronautical & Manufacturing Engineering,0.0
Geology,0.0
Fashion,0.0
Electrical & Electronic Engineering,0.0
Economics,0.0
Dentistry,0.0
Counselling,0.0
Business & Management Studies,0.0
Architecture,0.0
Anatomy & Physiology,0.0
Youth Work,0.0
