Which University / Medical Center / Applied University (HBO)?,currentEmp2. Which University / Medical Center / Applied University (HBO)? [PERCENTAGE]
Leiden University,20.0
"Radboudumc, Radboud Universitair Medisch Centrum",14.285714285714285
Utrecht University,11.428571428571429
VU University Amsterdam,8.571428571428571
University of Amsterdam,8.571428571428571
"UMCG, Universitair Medisch Centrum Groningen",8.571428571428571
"LUMC, Leids Universitair Medisch Centrum",5.714285714285714
"UMC Utrecht, Universitair Medisch Centrum Utrecht",5.714285714285714
Wageningen University,5.714285714285714
Maastrict University,2.857142857142857
Erasmus MC,2.857142857142857
University of Groningen,2.857142857142857
Radboud University,2.857142857142857
