Column 2,"Job title with ""senior"" removed",Renaming postgraduates
Senior Research Associate,research associate,postdoctoral researcher
Senior Research Associate,research associate,postdoctoral researcher
PhD Student,phd student,phd student
Senior Research Software Engineer,research software engineer,research software engineer
Postdoctoral researcher,postdoctoral researcher,postdoctoral researcher
Research Fellow,research fellow,postdoctoral researcher
Research Associate,research associate,postdoctoral researcher
Senior Technical Researcher,technical researcher,technical researcher
PDRA,pdra,pdra
Junior Research Software Engineer and Junior HPC Systems Administrator,junior research software engineer and junior hpc systems administrator,junior research software engineer and junior hpc systems administrator
Senior Software Scienitst,software scientist,software scientist
Senior Scientific Software Engineer,scientific software engineer,scientific software engineer
Research Software Engineer,research software engineer,research software engineer
Software Developer,software developer,software developer
Data Warehouse Manager,data warehouse manager,data warehouse manager
Software Engineer,software engineer,software engineer
Research Associate,research associate,postdoctoral researcher
Research Associate,research associate,postdoctoral researcher
Architect,architect,architect
Senior Data Manager,data manager,data manager
Senior Computational Scientist,computational scientist,computational scientist
Software Engineer,software engineer,software engineer
Developer,developer,developer
Research Software Enginnering Specialist,research software enginnering specialist,research software enginnering specialist
Full-stack software engineer,full-stack software engineer,full-stack software engineer
PDRA,pdra,pdra
Devops engineer/systems administrator,devops engineer/systems administrator,devops engineer/systems administrator
Cloud Applications Architect,cloud applications architect,cloud applications architect
Computer Officer,computer officer,computer officer
Bioinformatics Developer,bioinformatics developer,bioinformatics developer
Software Development Engineer,software development engineer,software development engineer
Senior Research Fellow,research fellow,postdoctoral researcher
PhD Student,phd student,phd student
Scientific Programmer,scientific programmer,scientific programmer
Senior Research Scientist,research scientist,research scientist
Senior Software Developer,software developer,software developer
Senior Research Software Architect,research software architect,research software architect
Senior Research Software Engineer,research software engineer,research software engineer
Research Software Specialist,research software specialist,research software specialist
Lecturer,lecturer,lecturer
Senior Post-Doctoral Research Associate,postdoctoral researcher,postdoctoral researcher
Software Developer,software developer,software developer
Software Engineer,software engineer,software engineer
Software Developer,software developer,software developer
Software Developer,software developer,software developer
Computer Officer,computer officer,computer officer
PhD Student,phd student,phd student
Research Software Engineer,research software engineer,research software engineer
Data Analyst & Software Developer,data analyst & software developer,data analyst & software developer
Research Software Developer,research software developer,research software developer
Software Developer,software developer,software developer
Research Associate,research associate,postdoctoral researcher
Senior Scientific Computing Officer,scientific computing officer,scientific computing officer
Backend Software Developer,backend software developer,backend software developer
