,Count [PERCENTAGE]
Computer Science,15.0
Biological Sciences,11.0
Physics and Astronomy,10.0
Mathematics,6.0
Chemistry,5.0
Medicine,5.0
Geography & Environmental Sciences,4.0
Electrical & Electronic Engineering,3.0
Mechanical Engineering,3.0
General Engineering,3.0
Materials Technology,2.0
Education,2.0
Psychology,2.0
Chemical Engineering,2.0
Civil Engineering,2.0
Aeronautical & Manufacturing Engineering,1.0
Geology,1.0
Linguistics,1.0
Anatomy & Physiology,1.0
Librarianship & Information Management,1.0
Robotics,1.0
History,1.0
Architecture,1.0
Sociology,1.0
Economics,1.0
Classics & Ancient History,1.0
Social Policy,1.0
Business & Management Studies,1.0
Pharmacology & Pharmacy,1.0
Agriculture & Forestry,1.0
Middle Eastern and African Studies,1.0
Anthropology,1.0
Ophthalmics,1.0
Food Science,1.0
Theology & Religious Studies,1.0
Town & Country Planning and Landscape Design,1.0
Communication & Media Studies,1.0
Art & Design,1.0
"History of Art, Architecture & Design",0.0
Law,0.0
Nursing,0.0
Politics,0.0
Land & Property Management,0.0
Philosophy,0.0
English,0.0
Physiotherapy,0.0
Social Work,0.0
Sports Science,0.0
Veterinary Medicine,0.0
Youth Work,0.0
Music,0.0
Marketing,0.0
Iberian Languages/Hispanic Studies,0.0
"Hospitality, Leisure, Recreation & Tourism",0.0
German,0.0
French,0.0
Fashion,0.0
East & South Asian Studies,0.0
Dentistry,0.0
Criminology,0.0
Counselling,0.0
Complementary Medicine,0.0
American Studies,0.0
Russian & East European Languages,0.0
Accounting & Finance,0.0
