,Which university? [PERCENTAGE]
University of Edinburgh,14.0
University of Sheffield,8.0
University College London (UCL),7.0
University of Manchester,7.0
University of Oxford,7.0
University of St Andrews,6.0
University of Cambridge,5.0
University of Southampton,5.0
University of Bristol,4.0
University of Leeds,4.0
Imperial College London,4.0
University of Birmingham,3.0
"University of Warwick, Coventry",2.0
University of Bath,2.0
University of Dundee,2.0
Newcastle University,2.0
University of Reading,2.0
University of Exeter,1.0
University of York,1.0
Bournemouth University,1.0
University of Glasgow,1.0
Other,1.0
"Durham University, Durham and Stockton-on-Tees (Queen's Campus)",1.0
King's College London,1.0
Swansea University,1.0
"St George's, University of London",1.0
Royal Veterinary College,1.0
Bangor University,1.0
"Queen Mary, University of London",1.0
University of Leicester,1.0
"Cranfield University, Cranfield, and Shrivenham",1.0
"University of Gloucestershire, Cheltenham, Gloucester and London",1.0
"University of Sussex, Falmer and Brighton",1.0
"Heriot-Watt University, Edinburgh and Galashiels",1.0
"Birkbeck, University of London",1.0
University of Liverpool,1.0
University of Nottingham,1.0
