,How many software projects are you currently involved with?
0,3.0
1,5.0
2,
3,5.0
4,5.0
5,4.0
6,3.0
7,2.0
8,2.0
9,2.0
10,
11,5.0
12,2.0
13,1.0
14,1.0
15,3.0
16,5.0
17,2.0
18,6.0
19,3.0
20,1.0
21,2.0
22,4.0
23,3.0
24,5.0
25,2.0
26,2.0
27,3.0
28,3.0
29,5.0
30,4.0
31,4.0
32,
33,1.0
34,5.0
35,4.0
36,3.0
37,2.0
38,3.0
39,3.0
40,1.0
41,2.0
42,
43,3.0
44,2.0
45,2.0
46,15.0
47,3.0
48,4.0
49,
50,4.0
51,1.0
52,3.0
53,3.0
54,2.0
55,2.0
56,1.0
57,1.0
58,1.0
59,3.0
60,2.0
61,2.0
62,
63,
64,1.0
65,4.0
66,1.0
67,5.0
68,3.0
69,4.0
70,2.0
71,1.0
72,6.0
73,1.0
74,5.0
75,5.0
76,
77,
78,
79,2.0
80,10.0
81,2.0
82,3.0
83,4.0
84,3.0
85,7.0
86,4.0
87,10.0
88,
89,10.0
90,8.0
91,1.0
92,3.0
93,
94,
95,3.0
96,3.0
97,10.0
98,2.0
99,2.0
100,5.0
101,3.0
102,5.0
103,20.0
104,2.0
105,1.0
106,6.0
107,6.0
108,3.0
109,
110,
111,3.0
112,8.0
113,1.0
114,
115,1.0
116,3.0
117,2.0
118,4.0
119,0.0
120,3.0
121,
122,3.0
123,3.0
124,4.0
125,8.0
126,2.0
127,4.0
128,1.0
129,5.0
130,4.0
131,5.0
132,5.0
133,
134,1.0
135,10.0
136,4.0
137,2.0
138,3.0
139,3.0
140,3.0
141,6.0
142,2.0
143,2.0
144,3.0
145,10.0
146,2.0
147,2.0
148,50.0
149,3.0
150,2.0
151,3.0
152,4.0
153,2.0
154,4.0
155,20.0
156,5.0
157,3.0
158,
159,6.0
160,5.0
161,
162,4.0
163,12.0
164,4.0
165,5.0
166,1.0
167,4.0
168,
169,4.0
170,2.0
171,1.0
172,2.0
173,10.0
174,2.0
175,1.0
176,
177,2.0
178,3.0
179,5.0
180,4.0
181,3.0
182,
183,
184,
185,3.0
186,10.0
187,2.0
188,4.0
189,5.0
190,5.0
191,2.0
192,3.0
193,1.0
194,6.0
195,0.0
196,
197,2.0
198,5.0
199,3.0
200,4.0
201,2.0
202,4.0
203,
204,4.0
205,1.0
206,4.0
207,5.0
208,3.0
209,3.0
210,2.0
211,2.0
212,5.0
213,4.0
214,1.0
215,3.0
216,2.0
217,11.0
218,7.0
219,
220,2.0
221,3.0
222,4.0
223,6.0
224,3.0
225,2.0
226,4.0
227,3.0
228,1.0
229,3.0
230,7.0
231,3.0
232,3.0
233,
234,15.0
235,3.0
236,2.0
237,1.0
238,
239,5.0
240,1.0
241,
242,3.0
243,2.0
244,3.0
245,2.0
246,3.0
247,4.0
248,3.0
249,5.0
250,3.0
251,8.0
252,5.0
