,How many years of software development experience do you have?
0,15.0
1,9.0
2,
3,20.0
4,14.0
5,25.0
6,
7,18.0
8,
9,
10,12.0
11,16.0
12,7.0
13,5.0
14,20.0
15,15.0
16,9.0
17,30.0
18,15.0
19,
20,30.0
21,15.0
22,13.0
23,7.0
24,10.0
25,5.0
26,5.0
27,10.0
28,
29,19.0
30,
31,5.0
32,10.0
33,3.0
34,
35,
36,4.0
37,
38,15.0
39,8.0
40,12.0
41,4.0
42,25.0
43,
44,10.0
45,3.0
46,18.0
47,7.0
48,15.0
49,
50,10.0
51,
52,7.0
53,3.0
54,5.0
55,
56,17.0
57,
58,
59,
60,10.0
61,
62,
63,
64,
65,1.0
66,
67,11.0
68,16.0
69,11.0
70,
71,17.0
72,20.0
73,4.0
74,16.0
75,11.0
76,3.0
77,
78,
79,18.0
80,17.0
81,
82,
83,35.0
84,
85,15.0
86,15.0
87,40.0
88,
89,
90,
91,20.0
92,
93,
94,12.0
95,
96,
97,
98,8.0
99,15.0
100,12.0
101,10.0
102,
103,17.0
104,
105,
106,
107,30.0
108,
109,
110,
111,12.0
112,18.0
113,11.0
114,2.0
115,6.0
116,
117,27.0
118,11.0
119,
120,
121,20.0
122,18.0
123,27.0
124,6.0
125,10.0
126,
127,5.0
128,12.0
129,
130,13.0
131,20.0
132,10.0
133,
134,
135,20.0
136,30.0
137,
138,6.0
139,
140,10.0
141,
142,2.0
143,15.0
144,
145,20.0
146,
147,
148,
149,13.0
150,
151,
152,
153,14.0
154,
155,
156,
157,7.0
158,
159,
160,
161,17.0
162,34.0
163,17.0
164,8.0
165,20.0
166,
167,9.0
168,
169,
170,
171,12.0
172,
173,20.0
174,8.0
175,
176,10.0
177,
178,
179,12.0
180,
181,
182,
183,
184,
185,
186,20.0
187,21.0
188,20.0
189,7.0
190,
191,16.0
192,4.0
193,3.0
194,20.0
195,20.0
196,
197,
198,12.0
199,
200,
201,
202,7.0
203,
204,
205,6.0
206,
207,10.0
208,
209,
210,
211,
212,9.0
213,
214,
215,15.0
216,
217,35.0
218,
219,5.0
220,5.0
221,
222,15.0
223,25.0
224,
225,5.0
226,9.0
227,10.0
228,7.0
229,
230,11.0
231,10.0
232,
233,
234,20.0
235,5.0
236,26.0
237,
238,14.0
239,14.0
240,
241,25.0
242,
243,25.0
244,10.0
245,20.0
246,3.0
247,20.0
248,5.0
249,30.0
250,
251,20.0
252,10.0
