,Count [PERCENTAGE]
Computer Science,20.89
Biological Sciences,11.74
Physics and Astronomy,9.15
Mathematics,5.16
Geology,5.16
Chemistry,5.16
Mechanical Engineering,4.69
Geography & Environmental Sciences,4.46
Materials Technology,3.05
Electrical & Electronic Engineering,2.82
Medicine,2.58
Education,2.11
Civil Engineering,2.11
Chemical Engineering,2.11
General Engineering,1.88
Robotics,1.64
Psychology,1.41
Librarianship & Information Management,1.41
Sociology,1.41
Economics,1.41
Aeronautical & Manufacturing Engineering,1.17
Agriculture & Forestry,1.17
Politics,0.94
Anthropology,0.7
Marketing,0.7
Linguistics,0.47
Nursing,0.47
Business & Management Studies,0.47
Anatomy & Physiology,0.47
Veterinary Medicine,0.47
Music,0.23
Pharmacology & Pharmacy,0.23
Social Policy,0.23
Town & Country Planning and Landscape Design,0.23
Accounting & Finance,0.23
History,0.23
Architecture,0.23
"History of Art, Architecture & Design,",0.23
Food Science,0.23
Art & Design,0.23
Communication & Media Studies,0.23
Land & Property Management,0.0
Physiotherapy,0.0
American Studies,0.0
Theology & Religious Studies,0.0
Sports Science,0.0
Social Work,0.0
Classics & Ancient History,0.0
Russian & East European Languages,0.0
Complementary Medicine,0.0
Counselling,0.0
Philosophy,0.0
Criminology,0.0
Law,0.0
Dentistry,0.0
Ophthalmics,0.0
East & South Asian Studies,0.0
English,0.0
Middle Eastern and African Studies,0.0
Fashion,0.0
French,0.0
German,0.0
"Hospitality, Leisure, Recreation & Tourism",0.0
Iberian Languages/Hispanic Studies,0.0
Youth Work,0.0
