,Which University? [PERCENTAGE]
University of Ilinois at Urbana-Champaign,6.84
Princeton University,6.84
"Ohio State University, Columbus",5.13
Purdue University,4.27
University of Notre Dame,4.27
University of Wisconsin-Madison,3.42
University of Michigan-Ann Arbor,3.42
Johns Hopkins University,3.42
Stanford University,3.42
University of Washington,2.56
Other,2.56
Virginia Polytechnic Institute and State University,2.56
"University of California, Berkeley",2.56
"University of California, Davis",2.56
University of Colorado at Boulder,2.56
University of Missouri-Columbia,1.71
California Institute of Technology,1.71
New York University,1.71
Cornell University,1.71
"University of California, Santa Barbara",1.71
Massachusetts Institute of Technology,1.71
Colorado State University,1.71
Harvard University,1.71
University of Florida,1.71
Pennsylvania State University,1.71
University of Chicago,1.71
University of Alabama at Birmingham,1.71
Yale University,0.85
University of Houston,0.85
Vanderbilt University,0.85
Case Western Reserve University,0.85
University of Oregon,0.85
"University of California, Riverside",0.85
Georgia Institute of Technology,0.85
College of William and Mary,0.85
University of Kentucky,0.85
Columbia University,0.85
State University of New York at Stony Brook,0.85
Washington State University,0.85
University of Southern California,0.85
Rice University,0.85
Temple University,0.85
"University of California, San Diego",0.85
University of Texas at Tyler,0.85
Northwestern University,0.85
University of Texas at Austin,0.85
State University of New York at Buffalo,0.85
University of Utah,0.85
University of Colorado at Colorado Springs,0.85
"University of Nebraska, Lincoln",0.85
"University of California, San Francisco",0.85
"California Polytechnic State University, San Luis Obispo",0.85
"University of Virginia, Charlottesville",0.85
Florida Agricultural and Mechanical University,0.85
