In which subject is your highest academic degree/qualification?,edu2. In which subject is your highest academic degree/qualification? [PERCENTAGE]
Computer Science,25.0
Other,14.02439024390244
Physics and Astronomy,14.02439024390244
Biological Sciences,12.804878048780488
Chemistry,8.536585365853659
Mathematics,4.878048780487805
Mechanical Engineering,4.2682926829268295
Electrical & Electronic Engineering,3.048780487804878
Geology,2.4390243902439024
Chemical Engineering,1.8292682926829267
Civil Engineering,1.2195121951219512
Anthropology,1.2195121951219512
Agriculture & Forestry,1.2195121951219512
Aeronautical & Manufacturing Engineering,1.2195121951219512
Politics,0.6097560975609756
Linguistics,0.6097560975609756
Business & Management Studies,0.6097560975609756
Music,0.6097560975609756
Geography & Environmental Sciences,0.6097560975609756
Medicine,0.6097560975609756
General Engineering,0.6097560975609756
