"Which of the following sources are used to fund your current, largest project?",Count [PERCENTAGE]
Grants,50.83798882681564
Funding by institution,29.05027932960894
Industry support,7.82122905027933
I volunteer my time,6.145251396648044
Foundations & consortiums,2.793296089385475
Consulting & services,1.675977653631285
Re-charge or charge-back,0.5586592178770949
Membership,0.5586592178770949
Trademark licensing & franchising,0.5586592178770949
Donation button,0.0
Crowdfunding (one-time),0.0
Crowdfunding (recurring),0.0
Books & merchandise,0.0
Advertising & sponsorships,0.0
SaaS,0.0
Dual license,0.0
Open core,0.0
Venture capital,0.0
