Reasons to choose this job,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
Desire to advance research,36,20,12,11,15
Desire to work in a research environment,31,29,17,20,15
Freedom to choose own working practices,18,10,20,25,8
Long-term prospects for continued employment,17,7,11,8,13
I want to learn new skills,16,18,8,12,19
Opportunity to develop software,13,22,21,13,8
Flexible working hours,8,12,21,12,15
Ability to work across disciplines,7,17,19,19,13
The salary,6,6,6,11,9
Opportunity for career advancement,2,11,15,11,10
,10,12,14,22,39
