,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
Desire to advance research,40.0,21.11,12.22,10.0,16.67
Desire to work in a research environment,25.96,25.0,16.35,19.23,13.46
Freedom to choose own working practices,22.08,12.99,25.97,31.17,7.79
Long-term prospects for continued employment,32.08,13.21,18.87,15.09,20.75
I want to learn new skills,21.43,25.71,10.0,15.71,27.14
Opportunity to develop software,17.81,28.77,27.4,16.44,9.59
Flexible working hours,11.11,17.46,30.16,17.46,23.81
Ability to work across disciplines,8.57,22.86,27.14,24.29,17.14
The salary,17.65,11.76,14.71,29.41,26.47
Opportunity for career advancement,2.22,24.44,28.89,24.44,20.0
