,Which university? [PERCENTAGE]
University of Edinburgh,13.94
University of Sheffield,8.48
University of Oxford,6.67
University College London (UCL),6.67
University of Manchester,6.67
University of St Andrews,6.06
University of Cambridge,5.45
University of Southampton,4.85
University of Leeds,4.24
University of Bristol,4.24
Imperial College London,3.64
University of Birmingham,3.03
"University of Warwick, Coventry",2.42
University of Dundee,1.82
University of Reading,1.82
University of Bath,1.82
Newcastle University,1.82
Other,1.21
Bournemouth University,1.21
University of Exeter,1.21
King's College London,1.21
"Durham University, Durham and Stockton-on-Tees (Queen's Campus)",1.21
University of Glasgow,1.21
University of York,1.21
"Heriot-Watt University, Edinburgh and Galashiels",0.61
"St George's, University of London",0.61
"University of Sussex, Falmer and Brighton",0.61
Bangor University,0.61
"Queen Mary, University of London",0.61
"Birkbeck, University of London",0.61
"University of Gloucestershire, Cheltenham, Gloucester and London",0.61
University of Leicester,0.61
Royal Veterinary College,0.61
"Cranfield University, Cranfield, and Shrivenham",0.61
University of Liverpool,0.61
University of Nottingham,0.61
Swansea University,0.61
