,"How would you describe your ethnic origin? This refers to people who share the same cultural background and identity, not country of birth or nationality."
White: English / Welsh / Scottish / Northern Irish / British,136
White: Any other White background,57
Asian / Asian British: Chinese,5
Other Ethnic group: Any other ethnic group,3
White: Irish,3
Black / African / Caribbean / Black Britsh:  African,2
"Mixed / Multipe Ethnic groups: Any other Mixed / Multiple ethnic background,",2
Asian / Asian British: Indian,1
Mixed / Multipe Ethnic groups: White and Black Caribbean,1
,43
