Heriot-Watt University
University of York
University of Leeds
Brunel University
University of Manchester
University of Bath
Durham University
University of Nottingham
University of Sussex
Queen&#039;s University Belfast
Northumbria University
University of Kent
University of Bristol
University of London
University of Southampton
University of St Andrews
University of Hull
University of Edinburgh
Newcastle University
University of Liverpool
Other/Not listed
Imperial College London
Lancaster University
University of Sheffield
University of Cambridge
Cranfield University
Manchester Metropolitan University
University of Oxford
University of Strathclyde
University of Glasgow
Aberystwyth University
University of Dundee
University of Reading
