"Academy for Spatial Research and Planning";"Akademie für Raumforschung und Landesplanung"
"Bernhard Nocht Institute for Tropical Medicine";"Bernhard-Nocht-Institut für Tropenmedizin"
"German Collection of Microorganisms and Cell Cultures";"Deutsche Sammlung von Mikroorganismen und Zellkulturen"
"German National Library of Medicine";"Deutsche Zentralbibliothek für Medizin"
"German National Library of Economics";"Deutsche Zentralbibliothek für Wirtschaftswissenschaften"
"German Mining Museum";"Deutsches Bergbau-Museum Bochum"
"German Research Institute for Public Administration";"Deutsches Forschungsinstitut für öffentliche Verwaltung Speyer"
"Deutsches Institut für Erwachsenenbildung";"Deutsches Institut für Erwachsenenbildung"
"Deutsches Institut für Internationale Pädagogische Forschung";"Deutsches Institut für Internationale Pädagogische Forschung"
"German Institute for Economic Research";"Deutsches Institut für Wirtschaftsforschung"
"Deutsches Museum";"Deutsches Museum"
"German Primate Center";"Deutsches Primatenzentrum"
"German Shipping Museum";"Deutsches Schiffahrtsmuseum"
"Leibniz Institute for Information Infrastructure";"FIZ Karlsruhe – Leibniz-Institut für Informationsinfrastruktur"
"Ferdinand-Braun-Institut";"Ferdinand-Braun-Institut, Leibniz-Institut für Höchstfrequenztechnik"
"Research Center Borstel";"Forschungszentrum Borstel"
"GESIS – Leibniz Institute for the Social Sciences";"GESIS – Leibniz-Institut für Sozialwissenschaften"
"German Institute of Global and Area Studies";"GIGA German Institute of Global and Area Studies"
"Germanisches Nationalmuseum";"Germanisches Nationalmuseum"
"Heinrich Pette Institute";"Heinrich-Pette-Institut – Leibniz-Institut für Experimentelle Virologie"
"Peace Research Institute Frankfurt";"Hessische Stiftung Friedens- und Konfliktforschung"
"Research Institute for Regional and Urban Development (ILS)";"ILS–Institut für Landes- und Stadtentwicklungsforschung"
"Ifo Institut für Wirtschaftsforschung";"Ifo Institut für Wirtschaftsforschung"
"Innovations for High Performance Microelectronics";"Innovations for High Performance Microelectronics"
"IDS – Institute for the German Language";"Institut für Deutsche Sprache"
"Kiel Institute for the World Economy";"Institut für Weltwirtschaft"
"Institut für Zeitgeschichte";"Institut für Zeitgeschichte"
"Kiepenheuer Institute for Solar Physics";"Kiepenheuer-Institut für Sonnenphysik"
"Leibniz-Institut für Molekulare Pharmakologie";"Leibniz-Forschungsinstitut für Molekulare Pharmakologie"
"Leibniz Institute of Agricultural Development in Central and Eastern Europe";"Leibniz-Institut für Agrarentwicklung in Transformationsökonomien"
"Fritz Lipmann Institute";"Leibniz-Institut für Altersforschung"
"Leibniz Institute for Astrophysics Potsdam";"Leibniz-Institut für Astrophysik Potsdam"
"Leibniz-Institut für Atmosphärenphysik";"Leibniz-Institut für Atmosphärenphysik"
"Leibniz Institute for Solid State and Materials Research";"Leibniz-Institut für Festkörper- und Werkstoffforschung"
