section,code,question,answer_format,answer_file,other,condition,mandatory,random,public,order_question,source,comment,lang_trans1,lang_trans2,lang_trans3
1,socio1,In which country do you work?,ONE CHOICE,countries,,,Y,,,FALSE,https://github.com/datasets/country-list,,,,
1,edu1,What is the highest qualification you have obtained?,ONE CHOICE,education,Y,,Y,,,TRUE,,,,,
1,edu2,In which subject is your highest academic qualification?,ONE CHOICE,academic_field,Y,if qualification,Y,,,FALSE,http://www.thecompleteuniversityguide.co.uk/courses,,,,
1,edu4,Do you hold any other professional degrees/qualifications? (Please enter each of them separated by a semicolon),FREETEXT,,,,Y,,,,,,,,
1,rse1,Do you write code as part of your job?,Y/N/NA,,,,Y,,,,,,,,
1,rse3,Who uses the code that you write?,LIKERT,likert_usage_5,,,Y,,,,,,,,
1,soft2can,Do you consider yourself a professional software developer?,Y/N/NA,,,,Y,,,,,,,,
1,soft1can,How many years of Software development experience do you have?,FREENUMERIC,,,,Y,,,,,,,,
1,time1can,"In an average month, how much time do you spend on software development (Please rate your answer between 1 to 10. 1 Being none at all and 10 being All your time.)",LIKERT,likert_time_10,,,Y,,,,,,,,
1,time2can,"In an average month, how much time do you spend on Research",LIKERT,likert_time_10,,,Y,,,,,,,,
1,time3can,"In an average month, how much time do you spend on Management",LIKERT,likert_time_10,,,Y,,,,,,,,
1,time4can,"In an average month, how much time do you spend on Teaching",LIKERT,likert_time_10,,,Y,,,,,,,,
1,time5can,"In an average month, how much time do you spend on Other activities",LIKERT,likert_time_10,,,Y,,,,,,,,
1,time6zaf,"In an average month, how much time would you like to spend on programming?  (Please rate your answer between 1 to 10. 1 Being none at all and 10 being All your time.)",LIKERT,likert_time_10,,,Y,,,,,,,,
1,time7zaf,"In an average month, how much time would you like to spend on Research",LIKERT,likert_time_10,,,Y,,,,,,,,
1,time8zaf,"In an average month, how much time would you like to spend on Management",LIKERT,likert_time_10,,,Y,,,,,,,,
1,time9zaf,"In an average month, how much time would you like to spend on Teaching",LIKERT,likert_time_10,,,Y,,,,,,,,
2,currentEmp1,What type of organisation do you work for?,ONE CHOICE,type_organisation,Y,,Y,,,FALSE,,,,,
2,currentEmp2,Which University? Please please provide the full official name of the university or organisation e.g. University of Cape Town if your organisation is not listed,ONE CHOICE,universities,Y,If ‘University’ at currentEmp1,Y,,,FALSE,Lost source but modified to include different London Univ,,,,
2,currentEmp4,Which organisation do you work for?,FREETEXT,,,If NOT ‘University’ at currentEmp1,Y,,N,,,,,,
2,currentEmp5,What is your official job title?,FREETEXT,,,,Y,,N,,,,,,
2,currentEmp6,"Are you known by a different job title? If so, please enter the job title you use",FREETEXT,,,,Y,,N,,,,,,
2,currentEmp12,Do you work full time or part time,ONE CHOICE,type_hours,,,Y,,,FALSE,,,,,
2,currentEmp10,What type of contract are you employed on?,ONE CHOICE,type_contract,Y,,Y,,,FALSE,Lost source but modified,,,,
2,currentEmp11,What is the total duration of your current employment (in years)?,FREENUMERIC,,Y,,Y,,,,,,,,
2,currentEmp13,In which disciplines do you work (select as many as apply),MULTIPLE CHOICES,academic_field,Y,,Y,,,FALSE,Same source as for academic field,,,,
3,prevEmp1,Where was your previous job based?,ONE CHOICE,previous_job,,,Y,,,FALSE,,,,,
3,prevEmp2,Rank the following factors dependent on how strongly they influenced your decision to accept your current position ,Ranking,decision_job,,,Y,,,FALSE,"RSE interviews, review main features that people liked in their job",,,,
4,currentWork1,"Do you always work with the same researcher(s), or do you regularly change the researcher(s) you work with? ",ONE CHOICE,work_researchers,,,Y,,,FALSE,,,,,
4,currentWork2,Do you work for a Research Software Group?,Y/N/NA,,,,Y,,,,,,,,
4,paper1,Has your software contributed to research that has been published in a journal or at a conference?,Y/N/NA,,,,Y,,,,,,,,
4,paper2,"In general, when your software contributes to a paper, are you acknowledged in that paper?",Y/N/NA,,,,Y,,,,,,,,
4,paper3,Are you generally named as the main author of the paper?,Y/N/NA,,,'YES’ in paper2,Y,,,,,,,,
4,paper4,Are you generally named as a co-author of the paper?,Y/N/NA,,,'NO’ in paper3 AND 'YES' in paper2,Y,,,,,,,,
4,paper5,Are you generally acknowledged in the main text of the paper? ,Y/N/NA,,,'NO’ in paper4 AND 'YES' in paper2,Y,,,,,,,,
4,conf1can,Have you ever presented your software work at a conference or workshop?,Y/N/NA,,,,Y,,,,,,,,
4,conf2can,Which conference(s)/workshop(s) (Please write a comma separated list with FULLNAME and ACRONYM),FREETEXT,,,'YES’ in conf1can,Y,,,,,,,,
4,proj1can,How many software projects are you currently involved in?,FREENUMERIC,,,,Y,,,,,,,,
4,proj2zaf,How many programmers are in your team - 1 means you are the only person?,FREENUMERIC,,,,Y,,,,,,,,
4,proj3zaf,"If you have more than 1 fellow programmer in your team, where are they from?",MULTIPLE CHOICES,team,,,Y,,,,,,,,
4,proj5zaf,"Which, if any, version control tools do you use for software development?",MULTIPLE CHOICES,version_tools,Y,,Y,,,,,,,,
4,proj6zaf,"Which, if any, online collaboration tools and open repositories do you use for software development?",MULTIPLE CHOICES,open_tools,Y,,Y,,,,,,,,
4,stability1,"What is the bus factor of your most important software project? (the bus factor is the number of team members who, if run over by a bus, would put the project in jeopardy, so 1 means the project is dependent on a single person)",LIKERT,bus_factor,,,Y,,,TRUE,,,,,
4,stability2,Is there a technical hand-over plan for your most important software project?,Y/N/NA,,,,Y,,,,,,,,
4,proj4can,"In general, what sort of testing do you conduct on your software? (check all that apply) ",MULTIPLE CHOICES,testing,,,Y,,,FALSE,,,,,
4,open01can,Have you ever released your software under an open-source licence? ,Y/N/NA,,,,Y,,,,,,,,
4,open1can,How often do you release the software projects you've worked on under an open-source licence?,LIKERT,likert_time_10,,'YES’ in open01can,Y,,,,,,,,
4,open02zaf,Which open source licences do you prefer to use for your software?,MULTIPLE CHOICES,open_licences,Y,'YES’ in open01can,Y,,,,,,,,
4,open03can,Have you ever used a Digital Object Identifier (DOI) to identify your software? ,Y/N/NA,,,,Y,,,,,,,,
4,open3can,How often do you associate your software with a Digital Object Identifier (DOI)? ,LIKERT,likert_time_10,,'YES’ in open03can,Y,,,,,,,,
4,tool1zaf,"What are your three (3) favourite tools to manage project deliverables, keep track of progress, communicate with your project group(s)? (Please wirte a comma separated list, eg: Slack, Trello, Google Wave)",FREETEXT,,,,Y,,,,,,,,
4,train1,Have you ever trained researchers in computational techniques? ,Y/N/NA,,,,Y,,,,,,,,
4,train2,"On average, how many times a year do you take part in providing training? ",FREENUMERIC,,,if YES to train1,Y,,,,,,,,
