"Accounting & Finance";"Rechnungs- und Finanzwesen"
"Aeronautical & Manufacturing Engineering";"Luftfahrt und Fertigungstechnik"
"Agriculture & Forestry";"Land- und Forstwirtschaft"
"American Studies";"Amerikanistik"
"Anatomy & Physiology";"Anatomie und Physiologie"
"Anthropology";"Anthropologie"
"Architecture";"Architektur"
"Art & Design";"Kunst & Design"
"Biological Sciences";"Biowissenschaften"
"Business & Management Studies";"Betriebswirtschaft und Unternehmensführung"
"Chemical Engineering";"Chemieingenieurwesen"
"Chemistry";"Chemie"
"Civil Engineering";"Bauingenieurwesen"
"Classics & Ancient History";"Altphilologie & Alte Geschichte"
"Communication & Media Studies";"Kommunikations- und Medienwissenschaften"
"Complementary Medicine";"Komplementärmedizin"
"Computer Science";"Computerwissenschaften"
"Counselling";"Seelsorge"
"Criminology";"Kriminologie"
"Dentistry";"Zahnheilkunde"
"East & South Asian Studies";"Ost- und Südasienstudien"
"Economics";"Ökonomie, Volkswirtschaftslehre"
"Education";"Bildung"
"Electrical & Electronic Engineering";"Elektrotechnik und Elektronik"
"English";"Englisch / Anglistik"
"Fashion";"Mode"
"Food Science";"Ernährungswissenschaften"
"French";"Französisch"
"Geography & Environmental Sciences";"Geographie & Umweltwissenschaften"
"Geology";"Geologie"
"General Engineering";"General Engineering"
"German";"Deutsch / Germanistik"
"History";"Geschichte"
"History of Art, Architecture & Design";"Geschichte der Kunst, der Architektur und des Designs"
"Hospitality, Leisure, Recreation & Tourism";"Bewirtung, Freizeit, Erholung und Tourismus"
"Iberian Languages/Hispanic Studies";"Iberische / Hispanische Sprachwissenschaften"
"Land & Property Management";"Land- und Immobilienwesen"
"Law";"Recht"
"Librarianship & Information Management";"Bibliothekswesen und Informationsmanagement"
"Linguistics";"Linguistik"
"Marketing";"Marketing"
"Materials Technology";"Werkstofftechnik"
"Mathematics";"Mathematik"
"Mechanical Engineering";"Maschinenbau"
"Medicine";"Medizin"
"Middle Eastern and African Studies";"Nahöstliche und Afrikanische Wissenschaften"
"Music";"Musik"
"Nursing";"Pflege"
"Ophthalmics";"Augenheilkunde"
"Pharmacology & Pharmacy";"Pharmakologie und Pharmazie"
"Philosophy";"Philosophie"
"Physics and Astronomy";"Physik und Astronomie"
"Physiotherapy";"Physiotherapie"
"Politics";"Politik"
"Psychology";"Psychologie"
"Robotics";"Robotik"
"Russian & East European Languages";"Russische und Osteuropäische Sprachwissenschaften"
"Social Policy";"Sozialpolitik"
"Social Work";"Sozialarbeit"
"Sociology";"Soziologie"
"Sports Science";"Sportwissenschaften"
"Theology & Religious Studies";"Theologie & Religionswissenschaft"
"Town & Country Planning and Landscape Design";"Stadt- und Landschaftsplanung und Landschaftsgestaltung"
"Veterinary Medicine";"Tiermedizin"
"Youth Work";"Jugendarbeit"
