APS1 - Australian Public Service Level 1
APS2 - Australian Public Service Level 2
APS3 - Australian Public Service Level 3
APS4 - Australian Public Service Level 4
APS5 - Australian Public Service Level 5
APS6 - Australian Public Service Level 6
EL1 - Executive Level 1
EL2 - Executive Level 2
SES - Senior Executive Service
CSOF1 - CSIRO Officer Level 1
CSOF2 - CSIRO Officer Level 2
CSOF3 - CSIRO Officer Level 3
CSOF4 - CSIRO Officer Level 4
CSOF5 - CSIRO Officer Level 5
CSOF6 - CSIRO Officer Level 6
CSOF7 - CSIRO Officer Level 7
CSOF8 - CSIRO Officer Level 8
CSOF9 - CSIRO Officer Level 9
Other
