CIVIL ENGINEERING; ;GÉNIE CIVIL
STRUCTURAL ENGINEERING; ;GÉNIE DES STRUCTURES
AGRICULTURAL ENGINEERING; ;GÉNIE RURAL
FOREST ENGINEERING; ;GÉNIE FORESTIER
MINING AND MINERAL PROCESSING; ;GÉNIE MINIER ET MINÉRAL
ENVIRONMENTAL ENGINEERING; ;GÉNIE DE L'ENVIRONNEMENT
INDUSTRIAL ENGINEERING; ; GÉNIE INDUSTRIEL
DESIGN AND MANUFACTURING; ; CONCEPTION ET FABRICATION
CHEMICAL ENGINEERING; ; GÉNIE CHIMIQUE
BIOMEDICAL ENGINEERING; ; GÉNIE BIOMÉDICAL
MATERIALS SCIENCE AND TECHNOLOGY; ;SCIENCE ET TECHNOLOGIE DES MATÉRIAUX
MECHANICAL ENGINEERING; ;GÉNIE MÉCANIQUE
FLUID MECHANICS; ;MÉCANIQUE DES FLUIDES
FUEL AND ENERGY TECHNOLOGY; ;COMBUSTIBLES ET TECHNOLOGIE DE L'ÉNERGIE
NUCLEAR ENGINEERING; ;GÉNIE NUCLÉAIRE
ELECTRICAL AND ELECTRONIC ENGINEERING; ;GÉNIE ÉLECTRIQUE ET ÉLECTRONIQUE
ROBOTICS; ;ROBOTIQUE
INFORMATION TECHNOLOGY; ;TECHNOLOGIE DE L'INFORMATION
ARTIFICIAL INTELLIGENCE; ;INTELLIGENCE ARTIFICIELLE
PURE MATHEMATICS; ;MATHÉMATIQUES PURES
APPLIED MATHEMATICS; ;MATHÉMATIQUES APPLIQUÉES
STATISTICS AND PROBABILITY; ;STATISTIQUE ET PROBABILITÉ
PHYSICS; ;PHYSIQUE
THEORETICAL PHYSICS AND CHEMISTRY; ;PHYSIQUE ET CHIMIE THÉORIQUES
ASTRONOMY AND ASTROPHYSICS; ;ASTRONOMIE ET ASTROPHYSIQUE
SPACE SCIENCE; ;SCIENCES SPATIALES
CONDENSED MATTERPHYSICS; ;PHYSIQUE DE LA MATIÈRE CONDENSÉE
PHYSICAL CHEMISTRY; ;CHIMIE PHYSIQUE
NALYTICAL CHEMISTRY; ;CHIMIE ANALYTIQUE
INORGANIC CHEMISTRY; ;CHIMIE INORGANIQUE
ORGANIC CHEMISTRY; ;CHIMIE ORGANIQUE
POLYMER CHEMISTRY; ;CHIMIE DES POLYMÈRES
EARTH SCIENCE; ;SCIENCES DE LA TERRE
GEOGRAPHICAL INFORMATION; ;INFORMATION GÉOGRAPHIQUE
PHYSICAL GEOGRAPHY; ;GÉOGRAPHIE PHYSIQUE
GEOCHEMISTRY AND GEOCHRONOLOGY; ;GÉOCHIMIE ET GÉOCHRONOLOGIE
GEOPHYSICS; ;GÉOPHYSIQUE
ATMOSPHERIC SCIENCE; ;ÉTUDE DE L'ATMOSPHÈRE
HYDROLOGY; ;HYDROLOGIE
OCEANOGRAPHY; ;OCÉANOGRAPHIE
EVOLUTION AND ECOLOGY; ; ÉVOLUTION ET ÉCOLOGIE
SOIL SCIENCE; ; SCIENCE DU SOL
PLANT AND TREE BIOLOGY; ; BIOLOGIE VÉGÉTALE ET DES ARBRES
GENETICS; ; GÉNÉTIQUE
CELL BIOLOGY; ; BIOLOGIE CELLULAIRE
MICROBIOLOGY; ; MICROBIOLOGIE
MOLECULAR BIOLOGY; ; BIOLOGIE MOLÉCULAIRE
BIOCHEMISTRY; ; BIOCHIMIE
ANIMAL BIOLOGY; ; BIOLOGIE ANIMALE
FOOD SCIENCE AND TECHNOLOGY; ; SCIENCE ET TECHNOLOGIE DE L'ALIMENTATION
PSYCHOLOGY; ; PSYCHOLOGIE
LIFE SCIENCES RESEARCH RELATED TO HUMAN HEALTH AND DISEASE; ; RECHERCHE EN SCIENCES DE LA VIE LIÉES À LA SANTÉ PUBLIQUE ET AUX MALADIES HUMAINES
OTHER STUDIES IN NATURAL SCIENCES AND ENGINEERING; ; AUTRES ÉTUDES EN SCIENCES NATURELLES ET EN GÉNIE
SOCIAL SCIENCES AND HUMANITIES; ; SCIENCES HUMAINES
HEALTH SCIENCES; ; SCIENCES DE LA SANTÉ
