"Alfred Wegener Institute for Polar and Marine Research";"Alfred-Wegener-Institut"
"DESY";"Deutsches Elektronen-Synchrotron"
"German Cancer Research Center";"Deutsches Krebsforschungszentrum"
"German Aerospace Center";"Deutsches Zentrum für Luft- und Raumfahrt"
"German Center for Neurodegenerative Diseases";"Deutsches Zentrum für Neurodegenerative Erkrankungen"
"Forschungszentrum Jülich";"Forschungszentrum Jülich"
"GSI Helmholtz Centre for Heavy Ion Research";"GSI Helmholtzzentrum für Schwerionenforschung"
"Helmholtz-Zentrum Berlin";"Helmholtz-Zentrum Berlin für Materialien und Energie"
"Helmholtz-Zentrum Dresden-Rossendorf";"Helmholtz-Zentrum Dresden-Rossendorf"
"Helmholtz-Zentrum Geesthacht Centre for Materials and Coastal Research";"Helmholtz-Zentrum Geesthacht – Zentrum für Material- und Küstenforschung"
"Helmholtz Zentrum München";"Helmholtz-Zentrum München"
"Helmholtz Centre Potsdam, GFZ German Research Centre for Geosciences";"Helmholtz-Zentrum Potsdam – Deutsches GeoForschungsZentrum GFZ"
"Helmholtz Centre for Infection Research";"Helmholtz-Zentrum für Infektionsforschung"
"GEOMAR Helmholtz Centre for Ocean Research Kiel";"Helmholtz-Zentrum für Ozeanforschung Kiel"
"Helmholtz Centre for Environmental Research";"Helmholtz-Zentrum für Umweltforschung – UFZ"
"Karlsruhe Institute of Technology";"Karlsruher Institut für Technologie"
"Max Delbrück Center for Molecular Medicine";"Max-Delbrück-Centrum für Molekulare Medizin"
"Max Planck Institute of Plasma Physics";"Max-Planck-Institut für Plasmaphysik"
