section,code,question,help,condition,answer_format,answer_file,de,nl,uk,us,zaf,nzl,aus,can,world,country_specific,other,random,mandatory,public,trans_de-informal,trans_fr
1,socio1,In which country do you work?,,,ONE CHOICE,countries,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,In welchem Land arbeitest Du?,Dans quel pays travaillez-vous?
1,rse1,Do you write software for academic research as part of your job,,,Y/N/NA,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,Entwickelst Du in Deiner Arbeitszeit Software für Forschung und Wissenschaft? Schreibst Du z.B. Quellcode oder Skripte?,Votre travail prévoit-il la création de logiciels pour la recherche universitaire?
1,edu1,What is the highest level of education you have attained?,,,ONE CHOICE,education,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,"Was ist Dein höchster, an einer Bildungseinrichtung erworbener Abschluss?",Jusqu’où avez-vous poussé vos études?
1,edu2,In which discipline is your highest academic qualification?,,,ONE CHOICE,academic_field,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,In welchem Bereich hast Du diesen Bildungsabschluss erlangt?,Dans quelle discipline avez-vous obtenu votre plus haut diplôme?
1,edu4,"List any professional qualifications you hold (eg. P. Eng, PMP, …)?",,,FREETEXT,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,"Besitzt Du weitere Abschlüsse? Wenn ja, welche?","Veuillez énumérer vos titres de compétences professionnels (par ex., ingénieur, gestionnaire de projets agréé, etc.)"
1,rse4de,Does the majority of your role comprise leading a group of software developers or RSEs?,,,Y/N/NA,,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,Umfasst ein Großteil Deiner Arbeit die Leitung einer Gruppe von Softwareentwicklern oder RSEs?,
1,rse3,Who uses the code that you write?,,,LIKERT,likert_usage_5,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,Wer nutzt den von Dir geschrieben Code?,Qui utilise le code que vous rédigez?
1,soft2can,Do you consider yourself a professional software developer?,,,Y/N/NA,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,Würdest Du Dich als professionellen Softwareentwickler bezeichnen?,Vous considérez-vous comme un développeur de logiciels professionnel?
1,soft1can,How many years of software development experience do you have?,,,FREENUMERIC,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,Wieviel Jahre Erfahrung hast Du bei der Entwicklung von Software?,Combien d’années d’expérience cumulez-vous en développement de logiciels?
1,time1can,"On average, what percentage of your time is spent developing software?",,,LIKERT,likert_time_10,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,"Wieviel Zeit verbringst Du im Durchschnitt monatlich mit der Entwicklung von Software? (Bitte wähle zwischen 1 und 10, 1 = gar nicht, 10 = jederzeit, immer)",Quel pourcentage de votre temps consacrez-vous en moyenne au développement de logiciels?
1,time2can,"On average, what percentage of your time is spent on research",,,LIKERT,likert_time_10,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,Wieviel Zeit verbringst Du im Durchschnitt monatlich mit Forschung?,Quel pourcentage de votre temps consacrez-vous en moyenne à la recherche?
1,time3can,"On average, what percentage of your time is spent on management",,,LIKERT,likert_time_10,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,Wieviel Zeit verbringst Du im Durchschnitt monatlich mit Management?,Quel pourcentage de votre temps consacrez-vous en moyenne à la gestion?
1,time4can,"On average, what percentage of your time is spent on teaching",,,LIKERT,likert_time_10,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,Wieviel Zeit verbringst Du im Durchschnitt monatlich mit Lehre?,Quel pourcentage de votre temps consacrez-vous en moyenne à l’enseignement?
1,time5can,"On average, what percentage of your time is spent on other activities",,,LIKERT,likert_time_10,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,Wieviel Zeit verbringst Du im Durchschnitt monatlich mit anderen Aktivitäten?,Quel pourcentage de votre temps consacrez-vous en moyenne à d’autres activités?
1,timeLike6zaf,"In an average month, how much time would you like to spend on software development?",,,LIKERT,likert_time_10,Y,,Y,Y,Y,Y,Y,,Y,,,,,,Wieviel Zeit würdest Du gerne im Durchschnitt mit der Entwicklung von Software verbringen?,
1,timeLike7zaf,"In an average month, how much time would you like to spend on research",,,LIKERT,likert_time_10,Y,,Y,Y,Y,Y,Y,,Y,,,,,,Wieviel Zeit würdest Du gerne im Durchschnitt mit Forschung verbringen?,
1,timeLike8zaf,"In an average month, how much time would you like to spend on management",,,LIKERT,likert_time_10,Y,,Y,Y,Y,Y,Y,,Y,,,,,,Wieviel Zeit würdest Du gerne im Durchschnitt mit Management verbringen?,
1,timeLie9zaf,"In an average month, how much time would you like to spend on teaching",,,LIKERT,likert_time_10,Y,,Y,Y,Y,Y,Y,,Y,,,,,,Wieviel Zeit würdest Du gerne im Durchschnitt mit Lehre verbringen?,
1,timeLike10zaf,"In an average month, how much time would you like to spend on other activities",,,LIKERT,likert_time_10,Y,,Y,Y,Y,Y,Y,,Y,,,,,,Wieviel Zeit würdest Du gerne im Durchschnitt mit anderen Aktivitäten verbringen?,
2,currentEmp1,Please select your organization type,,,ONE CHOICE,type_organisation,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,Wo arbeitest Du?,Veuillez indiquer la nature de votre organisation.
2,currentEmp2,Which university do you work for?,,"(currentEmp1 = ""University"")",ONE CHOICE,universities,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,,,FALSE,An welcher Universität arbeitest Du?,
2,currentEmp20de,Which Fraunhofer institute do you work for?,,"(currentEmp1 = ""Fraunhofer Society"")",ONE CHOICE,fraunhofer_de,Y,,,,,,,,,Y,Y,,,FALSE,An welchem Fraunhofer-Institut arbeitest Du?,
2,currentEmp21de,Which Helmholtz institute do you work for?,,"(currentEmp1 = ""Helmholtz Association of German Research Centres"")",ONE CHOICE,hgf_de,Y,,,,,,,,,Y,Y,,,FALSE,An welchem Helmholtz-Institut arbeitest Du?,
2,currentEmp22de,Which Leibniz institute do you work for?,,"(currentEmp1 = ""Leibniz Association"")",ONE CHOICE,leibniz_de,Y,,,,,,,,,Y,Y,,,FALSE,An welchem Leibniz-Institut arbeitest Du?,
2,currentEmp23de,Which Max-Planck institute do you work for?,,"(currentEmp1 = ""Max Planck Society"")",ONE CHOICE,mpg_de,Y,,,,,,,,,Y,Y,,,FALSE,An welchem Max-Planck-Institut arbeitest Du?,
2,currentEmp24de,Which University of Applied Sciences?,,"(currentEmp1 = ""University of Applied Sciences"")",ONE CHOICE,fh_de,Y,,,,,,,,,Y,Y,,,FALSE,An welcher Fachhochschule arbeitest Du?,
2,currentEmp5,What is your official job title?,,,FREETEXT,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,FALSE,Wie ist Deine offizielle Stellenbezeichnung (Job Title)?,Quel est le titre officiel de votre poste?
2,currentEmp6,"Are you known in your group by a different job title? If so, please enter the job title you use",,,FREETEXT,,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,FALSE,"Bist Du innerhalb Deiner Gruppe unter einer anderer Stellenbezeichung bekannt? Wenn ja, wie heißt diese?",
2,currentEmp12,Do you work full time or part time,,,ONE CHOICE,type_hours,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,Bist Du Vollzeit oder Teilzeit beschäftigt?,
2,currentEmp10,What is the nature of your current employment?,,,ONE CHOICE,type_contract,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,Auf welcher Art von Arbeitsvertrag bist Du beschäftigt?,Quelle est la nature de votre emploi actuel?
2,currentEmp9,When did you start your current contract?,,,DATETIME,,Y,,Y,Y,Y,Y,Y,,Y,,,,,FALSE,Welches Startdatum hat Dein jetziger Arbeitsvertrages?,
2,currentEmp11,What is the duration (in years) of your current contract?,,,FREENUMERIC,,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,Welche Dauer (in Jahren) hat Dein jetziger Arbeitsvertrag?,
2,currentEmp13,Please select the discipline in which you work. Please select all that apply.,,,MULTIPLE CHOICES,academic_field,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,In welchen Bereichen arbeitest Du? (wähle alle zutreffenden),Veuillez indiquer la discipline dans laquelle vous travaillez. Cocher toutes les réponses qui s’appliquent.
3,prevEmp1,Where was your previous job based?,,,ONE CHOICE,type_organisation,Y,,Y,Y,Y,Y,Y,,Y,Y,,,,,Wo hast Du in Deinem vorherigem Job gearbeitet?,
