"I volunteer my time";"Ich nutze meine eigene Zeit freiwillig/unentgeltlich/ehrenamtlich"
"Donation button";"Spenden/Donation Button"
"Crowdfunding (one-time)";"Crowdfunding (einmalig)"
"Crowdfunding (recurring)";"Crowdfunding (mehrmalig)"
"Books & merchandise";"Bücher und Vermarktung/Merchandising"
"Advertising & sponsorships";"Werbung und Sponsoring/finanzielle Förderung"
"Industry support";"Unterstützung aus Wirtschaft und Industrie"
"Consulting & services";"Beratung und Dienstleistungen"
"Grants";"Stellenmittel oder Forschungsbeihilfe"
"SaaS";"SaaS"
"Membership";"Mitgliedschaften"
"Dual license";"Dual licensing"
"Open core";"Open core (Vermarktung proprietäre Softwareversionen oder Add-ons für eine minimale Version oder einen Kern einer Free and Open Source Software)"
"Foundations & consortiums";"Stiftungen und Konsortien"
"Venture capital";"Risikokapital"
"Trademark licensing & franchising";"Lizenzierung einer Marke und Franchising"
"Institutional support";"Institutionelle Unterstützung, z.B. durch Mittel von Universitäten oder Forschungsinstituten"
