"Afghanistan";"Afghanistan"
"Åland Islands";"Åland"
"Albania";"Albanien"
"Algeria";"Algerien"
"American Samoa";"Amerikanisch-Samoa"
"Andorra";"Andorra"
"Angola";"Angola"
"Anguilla";"Anguilla"
"Antarctica";"Antarktika"
"Antigua and Barbuda";"Antigua und Barbuda"
"Argentina";"Argentinien"
"Armenia";"Armenien"
"Aruba";"Aruba"
"Australia";"Australien"
"Austria";"Österreich"
"Azerbaijan";"Aserbaidschan"
"Bahamas";"Bahamas"
"Bahrain";"Bahrain"
"Bangladesh";"Bangladesch"
"Barbados";"Barbados"
"Belarus";"Belarus (Weißrussland)"
"Belgium";"Belgien"
"Belize";"Belize"
"Benin";"Benin"
"Bermuda";"Bermuda"
"Bhutan";"Bhutan"
"Bolivia, Plurinational State of";"Bolivien"
"Bonaire, Sint Eustatius and Saba";"Bonaire, Sint Eustatius und Saba (Niederlande)"
"Bosnia and Herzegovina";"Bosnien und Herzegowina"
"Botswana";"Botswana"
"Bouvet Island";"Bouvetinsel"
"Brazil";"Brasilien"
"British Indian Ocean Territory";"Britisches Territorium im Indischen Ozean"
"Brunei Darussalam";"Brunei Darussalam"
"Bulgaria";"Bulgarien"
"Burkina Faso";"Burkina Faso"
"Burundi";"Burundi"
"Cape Verde";"Kap Verde"
"Cambodia";"Kambodscha"
"Cameroon";"Kamerun"
"Canada";"Kanada"
"Cayman Islands";"Kaimaninseln"
"Central African Republic";"Zentralafrikanische Republik"
"Chad";"Tschad"
"Chile";"Chile"
"China";"China, Volksrepublik"
"Christmas Island";"Weihnachtsinsel"
"Cocos (Keeling) Islands";"Kokosinseln"
"Colombia";"Kolumbien"
"Comoros";"Komoren"
"Congo";"Kongo, Republik (ehem. K.-Brazzaville)"
"Congo, the Democratic Republic of the";"Kongo, Demokratische Republik (ehem. Zaire)"
"Cook Islands";"Cookinseln"
"Costa Rica";"Costa Rica"
"Côte d'Ivoire";"Côte d’Ivoire (Elfenbeinküste)"
"Croatia";"Kroatien"
"Cuba";"Kuba"
"Curaçao";"Curaçao"
"Cyprus";"Zypern"
"Czech Republic";"Tschechien"
"Denmark";"Dänemark"
