"University of Applied Sciences Appollon";"Apollon Hochschule der Gesundheitswirtschaft"
"Bard College Berlin";"Bard College Berlin"
"Beuth University of Applied Sciences Berlin";"Beuth Hochschule für Technik Berlin"
"Bavarian Library Academy";"Bibliotheksakademie Bayern"
"Cusanus Hochschule";"Cusanus Hochschule"
"Diploma Hochschule";"Diploma Hochschule"
"Baden-Württemberg Cooperative State University";"Duale Hochschule Baden-Württemberg"
"DHBW Stuttgart";"Duale Hochschule Baden-Württemberg Stuttgart"
"University of Applied Sciences Jena";"Ernst-Abbe-Hochschule Jena"
"European University of Applied Sciences";"Europäische Fachhochschule"
"Evangelische Fachhochschule Hannover";"Evangelische Fachhochschule Hannover"
"Protestant University for Applied Sciences Freiburg";"Evangelische Hochschule Freiburg"
"Rheinland-Westfalen-Lippe University of Applied Sciences";"Evangelische Hochschule Rheinland-Westfalen-Lippe"
"FH Aachen";"FH Aachen"
"Bielefeld University of Applied Sciences";"Fachhochschule Bielefeld"
"University of Applied Sciences in Brandenburg";"Fachhochschule Brandenburg"
"Dortmund University of Applied Sciences and Arts";"Fachhochschule Dortmund"
"University of Applied Sciences Erfurt";"Fachhochschule Erfurt"
"Fachhochschule Flensburg";"Fachhochschule Flensburg"
"University of Applied Sciences Kaiserslautern";"Fachhochschule Kaiserslautern"
"Fachhochschule Kiel";"Fachhochschule Kiel"
"Fachhochschule Lübeck";"Fachhochschule Lübeck"
"Fachhochschule Münster";"Fachhochschule Münster"
"University of Applied Police Sciences Saxony Anhalt";"Fachhochschule Polizei Sachsen-Anhalt"
"Fachhochschule Potsdam";"Fachhochschule Potsdam"
"Schwetzingen Technical Institute & Graduate Court Registrars' College";"Fachhochschule Schwetzingen"
"Hermannsburg Mission Seminary";"Fachhochschule für Interkulturelle Theologie"
"University of Applied Sciences for Administration and Services";"Fachhochschule für Verwaltung und Dienstleistung"
"Fachhochschule für die Wirtschaft";"Fachhochschule für die Wirtschaft"
"University of Applied Sciences for Public Administration, Police and Justice";"Fachhochschule für öffentliche Verwaltung, Polizei und Rechtspflege"
"Frankfurt University of Applied Sciences";"Frankfurt University of Applied Sciences"
